AAPL,Jan 1 2000,25.94
AAPL,Feb 1 2000,28.66
AAPL,Mar 1 2000,33.95
AAPL,Apr 1 2000,31.01
AAPL,May 1 2000,21
AAPL,Jun 1 2000,26.19
AAPL,Jul 1 2000,25.41
AAPL,Aug 1 2000,30.47
AAPL,Sep 1 2000,12.88
AAPL,Oct 1 2000,9.78
AAPL,Nov 1 2000,8.25
AAPL,Dec 1 2000,7.44
AAPL,Jan 1 2001,10.81
AAPL,Feb 1 2001,9.12
AAPL,Mar 1 2001,11.03
AAPL,Apr 1 2001,12.74
AAPL,May 1 2001,9.98
AAPL,Jun 1 2001,11.62
AAPL,Jul 1 2001,9.4
AAPL,Aug 1 2001,9.27
AAPL,Sep 1 2001,7.76
AAPL,Oct 1 2001,8.78
AAPL,Nov 1 2001,10.65
AAPL,Dec 1 2001,10.95
AAPL,Jan 1 2002,12.36
AAPL,Feb 1 2002,10.85
AAPL,Mar 1 2002,11.84
AAPL,Apr 1 2002,12.14
AAPL,May 1 2002,11.65
AAPL,Jun 1 2002,8.86
AAPL,Jul 1 2002,7.63
AAPL,Aug 1 2002,7.38
AAPL,Sep 1 2002,7.25
AAPL,Oct 1 2002,8.03
AAPL,Nov 1 2002,7.75
AAPL,Dec 1 2002,7.16
AAPL,Jan 1 2003,7.18
AAPL,Feb 1 2003,7.51
AAPL,Mar 1 2003,7.07
AAPL,Apr 1 2003,7.11
AAPL,May 1 2003,8.98
AAPL,Jun 1 2003,9.53
AAPL,Jul 1 2003,10.54
AAPL,Aug 1 2003,11.31
AAPL,Sep 1 2003,10.36
AAPL,Oct 1 2003,11.44
AAPL,Nov 1 2003,10.45
AAPL,Dec 1 2003,10.69
AAPL,Jan 1 2004,11.28
AAPL,Feb 1 2004,11.96
AAPL,Mar 1 2004,13.52
AAPL,Apr 1 2004,12.89
AAPL,May 1 2004,14.03
AAPL,Jun 1 2004,16.27
AAPL,Jul 1 2004,16.17
AAPL,Aug 1 2004,17.25
AAPL,Sep 1 2004,19.38
AAPL,Oct 1 2004,26.2
AAPL,Nov 1 2004,33.53
AAPL,Dec 1 2004,32.2
AAPL,Jan 1 2005,38.45
AAPL,Feb 1 2005,44.86
AAPL,Mar 1 2005,41.67
AAPL,Apr 1 2005,36.06
AAPL,May 1 2005,39.76
AAPL,Jun 1 2005,36.81
AAPL,Jul 1 2005,42.65
AAPL,Aug 1 2005,46.89
AAPL,Sep 1 2005,53.61
AAPL,Oct 1 2005,57.59
AAPL,Nov 1 2005,67.82
AAPL,Dec 1 2005,71.89
AAPL,Jan 1 2006,75.51
AAPL,Feb 1 2006,68.49
AAPL,Mar 1 2006,62.72
AAPL,Apr 1 2006,70.39
AAPL,May 1 2006,59.77
AAPL,Jun 1 2006,57.27
AAPL,Jul 1 2006,67.96
AAPL,Aug 1 2006,67.85
AAPL,Sep 1 2006,76.98
AAPL,Oct 1 2006,81.08
AAPL,Nov 1 2006,91.66
AAPL,Dec 1 2006,84.84
AAPL,Jan 1 2007,85.73
AAPL,Feb 1 2007,84.61
AAPL,Mar 1 2007,92.91
AAPL,Apr 1 2007,99.8
AAPL,May 1 2007,121.19
AAPL,Jun 1 2007,122.04
AAPL,Jul 1 2007,131.76
AAPL,Aug 1 2007,138.48
AAPL,Sep 1 2007,153.47
AAPL,Oct 1 2007,189.95
AAPL,Nov 1 2007,182.22
AAPL,Dec 1 2007,198.08
AAPL,Jan 1 2008,135.36
AAPL,Feb 1 2008,125.02
AAPL,Mar 1 2008,143.5
AAPL,Apr 1 2008,173.95
AAPL,May 1 2008,188.75
AAPL,Jun 1 2008,167.44
AAPL,Jul 1 2008,158.95
AAPL,Aug 1 2008,169.53
AAPL,Sep 1 2008,113.66
AAPL,Oct 1 2008,107.59
AAPL,Nov 1 2008,92.67
AAPL,Dec 1 2008,85.35
AAPL,Jan 1 2009,90.13
AAPL,Feb 1 2009,89.31
AAPL,Mar 1 2009,105.12
AAPL,Apr 1 2009,125.83
AAPL,May 1 2009,135.81
AAPL,Jun 1 2009,142.43
AAPL,Jul 1 2009,163.39
AAPL,Aug 1 2009,168.21
AAPL,Sep 1 2009,185.35
AAPL,Oct 1 2009,188.5
AAPL,Nov 1 2009,199.91
AAPL,Dec 1 2009,210.73
AAPL,Jan 1 2010,192.06
AAPL,Feb 1 2010,204.62
AAPL,Mar 1 2010,223.02